;codgeo;libgeo;date_arrete;nb_vp_rechargeables_el;nb_vp_rechargeables_gaz;nb_vp
298331;71273;MALTAT;2022-09-30;0;0;350
298334;71274;MANCEY;2021-09-30;4;0;417
298336;71275;MARCIGNY;2022-09-30;20;0;1765
298340;71276;MARCILLY-LA-GUEURCE;2022-03-31;1;0;152
298344;71277;MARCILLY-LÈS-BUXY;2023-03-31;10;0;810
298352;71279;LE ROUSSET-MARIZY;2022-12-31;3;0;764
298357;71280;MARLY-SOUS-ISSY;2022-12-31;0;0;104
298360;71281;MARLY-SUR-ARROUX;2023-03-31;1;0;364
298375;71284;MARTAILLY-LÈS-BRANCION;2023-03-31;3;0;192
298380;71285;MARTIGNY-LE-COMTE;2023-03-31;7;0;508
298382;71286;MARY;2021-03-31;2;0;282
298384;71287;MASSILLY;2022-06-30;3;0;425
298387;71289;MATOUR;2022-09-30;6;0;1186
298391;71290;MAZILLE;2022-09-30;8;0;353
298400;71292;MELLECEY;2023-03-31;27;0;1404
298404;71293;MÉNETREUIL;2022-12-31;2;0;494
298406;71294;MERCUREY;2022-12-31;25;0;1485
298408;71295;MERVANS;2022-09-30;4;0;1530
298412;71296;MESSEY-SUR-GROSNE;2022-06-30;9;0;894
298414;71297;MESVRES;2022-06-30;6;0;946
298417;71299;MILLY-LAMARTINE;2022-03-31;2;0;354
298424;71300;LE MIROIR;2023-03-31;6;0;735
298431;71301;MONT;2023-03-31;0;0;193
298434;71302;MONTAGNY-LÈS-BUXY;2022-06-30;7;0;271
298436;71303;MONTAGNY-PRÈS-LOUHANS;2021-12-31;5;0;534
298440;71305;MONTBELLET;2022-12-31;2;0;925
298442;71306;MONTCEAU-LES-MINES;2022-12-31;189;0;16943
298444;71307;MONTCEAUX-L'ÉTOILE;2023-03-31;3;0;327
